distance_cm,snr,confidence,kurtosis,skewness,rms,zero_crossing_rate,peak_to_peak,pulse_width_us,rise_time_us,fall_time_us,echo_area,crest_factor,spectral_centroid,spectral_crest,psd_energy,spectral_entropy,dominant_freq_hz,target_strength_dB,echo_noise_ratio,label,target_distance_cm
20.1,11.71,1.0,-0.7139,0.6565,5073.41,0.2353,7782.23,188.87,55.55,99.99,81185.5,1.788,5164.3,8.46,331272160.0,0.7538,1406.4,21.37,11.71,wall,20
20.2,12.44,1.0,-0.6821,0.6809,5298.15,0.2353,8166.71,188.87,44.44,111.1,84362.7,1.821,5326.2,8.365,364939456.0,0.7588,1054.8,21.9,12.44,wall,20
20.2,11.85,1.0,-0.6245,0.7168,4970.62,0.2222,7788.21,199.98,55.55,99.99,83049.0,1.851,5294.4,8.482,335291072.0,0.7572,1054.8,21.48,11.85,wall,20
20.2,11.58,1.0,-0.6397,0.7053,4886.57,0.2222,7648.38,199.98,55.55,111.1,81812.2,1.84,5226.7,8.5,322303200.0,0.7551,1406.4,21.27,11.58,wall,20
20.2,12.37,1.0,-0.6806,0.6888,5283.14,0.2353,8147.35,188.87,44.44,99.99,84305.2,1.819,5385.8,8.395,362847776.0,0.7603,1054.8,21.84,12.37,wall,20
20.2,11.8,1.0,-0.6448,0.703,4978.88,0.2222,7790.4,199.98,55.55,99.99,83279.4,1.843,5345.6,8.449,336134560.0,0.7592,1054.8,21.43,11.8,wall,20
20.2,11.58,1.0,-0.7141,0.6749,5068.92,0.1176,7600.01,188.87,55.55,99.99,81475.4,1.778,5211.1,8.479,329881760.0,0.7554,1406.4,21.27,11.58,wall,20
20.2,12.2,1.0,-0.7371,0.6953,5380.46,0.125,7655.3,177.76,44.44,99.99,82116.3,1.767,5357.5,8.339,355765376.0,0.76,1054.8,21.73,12.2,wall,20
20.2,11.82,1.0,-0.7077,0.6414,5210.24,0.1176,7911.87,188.87,55.55,99.99,83489.4,1.768,5186.2,8.489,350293120.0,0.7544,1054.8,21.45,11.82,wall,20
20.1,12.06,1.0,-0.7056,0.6244,5307.96,0.1176,8183.45,188.87,55.55,99.99,84756.1,1.771,5129.9,8.425,364643936.0,0.7531,1054.8,21.63,12.06,wall,20
20.1,12.56,1.0,-0.7294,0.6567,5578.17,0.125,8078.72,177.76,44.44,99.99,85072.4,1.755,5259.2,8.402,384464960.0,0.7569,1054.8,21.98,12.56,wall,20
20.1,12.06,1.0,-0.7012,0.6313,5280.83,0.2353,8227.64,188.87,55.55,99.99,84192.8,1.781,5245.1,8.39,361835360.0,0.7568,1054.8,21.63,12.06,wall,20
20.1,12.07,1.0,-0.7658,0.6636,5444.09,0.125,7662.37,177.76,44.44,99.99,83087.1,1.728,5230.5,8.289,364062976.0,0.7571,1406.4,21.64,12.07,wall,20
20.2,12.75,1.0,-0.7328,0.6558,5638.53,0.125,8289.56,177.76,44.44,99.99,85576.9,1.763,5361.7,8.214,393829088.0,0.761,1054.8,22.11,12.75,wall,20
20.2,12.11,1.0,-0.6935,0.6765,5270.1,0.2353,7904.24,188.87,44.44,111.1,84441.9,1.791,5200.1,8.481,359777984.0,0.7552,1054.8,21.67,12.11,wall,20
20.2,12.05,1.0,-0.7176,0.6645,5236.96,0.1176,7906.19,188.87,44.44,111.1,83758.4,1.791,5131.1,8.444,354828992.0,0.7531,1054.8,21.62,12.05,wall,20
20.2,12.79,1.0,-0.7011,0.6525,5477.02,0.2353,8384.4,188.87,44.44,111.1,87181.1,1.816,5284.8,8.387,392325344.0,0.7578,1054.8,22.14,12.79,wall,20
20.2,12.22,1.0,-0.6911,0.6603,5304.65,0.2353,7833.24,188.87,44.44,99.99,85388.0,1.789,5057.4,8.774,366045216.0,0.7493,1054.8,21.74,12.22,wall,20
20.2,11.96,1.0,-0.706,0.6658,5193.46,0.1176,7717.49,188.87,44.44,99.99,83648.7,1.785,5041.0,8.731,349149216.0,0.7489,1054.8,21.55,11.96,wall,20
20.2,12.69,1.0,-0.6961,0.6514,5446.03,0.2353,8282.19,188.87,55.55,99.99,87012.4,1.805,5253.5,8.555,388548864.0,0.7562,1054.8,22.07,12.69,wall,20
20.2,12.13,1.0,-0.6919,0.6706,5271.1,0.2353,7750.45,188.87,55.55,99.99,84857.6,1.78,5137.9,8.753,362086624.0,0.752,1054.8,21.68,12.13,wall,20
20.2,11.9,1.0,-0.7284,0.6618,5174.53,0.1176,7596.17,188.87,55.55,99.99,83285.2,1.775,5112.8,8.699,347614304.0,0.7518,1054.8,21.51,11.9,wall,20
20.2,12.28,1.0,-0.6921,0.6723,5275.74,0.2353,7951.06,188.87,55.55,99.99,84294.2,1.795,5284.0,8.592,363583232.0,0.7569,1054.8,21.78,12.28,wall,20
20.2,11.74,1.0,-0.7037,0.6091,5011.24,0.2222,7919.25,199.98,55.55,99.99,84437.0,1.804,5020.4,8.884,341018304.0,0.7478,1054.8,21.39,11.74,wall,20
20.2,11.98,1.0,-0.7414,0.6361,5218.1,0.1176,7608.84,188.87,44.44,99.99,84314.0,1.767,4931.1,8.837,351898112.0,0.7452,1054.8,21.57,11.98,wall,20
20.2,12.42,1.0,-0.7055,0.6445,5307.76,0.2353,8005.28,188.87,44.44,111.1,84976.9,1.799,5082.8,8.639,365877024.0,0.7504,1054.8,21.88,12.42,wall,20
20.2,11.8,1.0,-0.6719,0.6566,4982.45,0.2222,7822.77,199.98,55.55,111.1,83540.3,1.821,5032.4,8.729,336255136.0,0.7482,1054.8,21.44,11.8,wall,20
20.2,11.93,1.0,-0.7223,0.656,5150.89,0.1176,7689.24,188.87,44.44,111.1,82663.7,1.778,5036.8,8.633,342080032.0,0.7492,1054.8,21.53,11.93,wall,20
20.2,12.36,1.0,-0.7363,0.6605,5377.85,0.125,7879.99,177.76,44.44,99.99,81914.8,1.764,5211.4,8.48,355684960.0,0.7549,1054.8,21.84,12.36,wall,20
20.2,11.96,1.0,-0.7773,0.6695,5258.87,0.125,7417.85,177.76,44.44,99.99,80389.1,1.745,5200.2,8.467,338387808.0,0.7553,1054.8,21.55,11.96,wall,20
20.2,11.66,1.0,-0.7293,0.6405,5018.38,0.1176,7772.49,188.87,55.55,99.99,80222.8,1.784,5150.9,8.471,323748736.0,0.7538,1054.8,21.34,11.66,wall,20
20.2,12.39,1.0,-0.6848,0.6842,5226.5,0.2353,8076.51,188.87,44.44,111.1,83150.2,1.822,5311.3,8.368,354462880.0,0.7587,1054.8,21.86,12.39,wall,20
20.2,11.77,1.0,-0.6874,0.6393,5026.59,0.2222,7870.36,199.98,55.55,111.1,84222.3,1.801,5077.0,8.615,341454880.0,0.751,1054.8,21.42,11.77,wall,20
20.1,11.99,1.0,-0.72,0.5934,5244.47,0.1176,8111.25,188.87,55.55,99.99,83966.5,1.761,5022.0,8.543,354123808.0,0.7499,1054.8,21.58,11.99,wall,20
20.1,12.23,1.0,-0.7388,0.6574,5439.06,0.125,7706.74,177.76,44.44,99.99,83074.8,1.734,5170.5,8.448,362605504.0,0.7542,1054.8,21.75,12.23,wall,20
20.1,11.9,1.0,-0.7091,0.6287,5181.3,0.1176,7998.92,188.87,55.55,99.99,82738.7,1.775,5142.6,8.478,345715520.0,0.7535,1406.4,21.51,11.9,wall,20
20.1,11.8,1.0,-0.7236,0.6383,5125.99,0.1176,7874.07,188.87,55.55,99.99,81906.4,1.781,5137.6,8.434,337153024.0,0.7541,1406.4,21.43,11.8,wall,20
20.1,12.27,1.0,-0.7387,0.6696,5479.82,0.125,7732.49,177.76,44.44,99.99,83557.9,1.736,5261.5,8.309,368561248.0,0.7579,1406.4,21.78,12.27,wall,20
20.1,11.79,1.0,-0.6996,0.6592,5155.15,0.1176,7835.1,188.87,55.55,99.99,82520.3,1.774,5155.0,8.516,342464832.0,0.7537,1406.4,21.43,11.79,wall,20
20.1,11.52,1.0,-0.714,0.665,5056.98,0.1176,7571.19,188.87,55.55,99.99,81162.7,1.766,5109.8,8.54,327927680.0,0.7523,1406.4,21.23,11.52,wall,20
20.2,12.26,1.0,-0.7478,0.6775,5438.33,0.125,7638.6,177.76,44.44,99.99,83208.3,1.748,5243.4,8.387,363218080.0,0.7565,1054.8,21.77,12.26,wall,20
20.2,11.8,1.0,-0.6487,0.6721,5013.29,0.2222,7800.36,199.98,55.55,111.1,84337.5,1.824,5068.8,8.722,340744704.0,0.7497,1054.8,21.44,11.8,wall,20
