r_cm,v_cms,temp,peak,snr,width_us,area,power_percent,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material
67.4,-0.22,25.0,6656.59,33.09,622.16,198853.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,-0.22,25.0,7431.21,37.03,611.05,202316.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,-0.22,25.0,7431.21,37.03,611.05,202316.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,-0.22,25.0,7431.21,37.03,611.05,202316.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,-0.22,25.0,7431.21,37.03,611.05,202316.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,-0.22,25.0,7431.21,37.03,611.05,202316.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,0.0,25.0,7727.52,38.57,611.05,208081.1,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,0.0,25.0,7727.52,38.57,611.05,208081.1,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,0.0,25.0,7727.52,38.57,611.05,208081.1,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.3,0.0,25.0,7727.52,38.57,611.05,208081.1,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
