r_cm,snr,area_norm_r,energy_density,width_rel,snr_variance,echo_consistency,material
56.6,28.28,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,28.28,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,28.28,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,28.28,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,28.28,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,28.28,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,26.66,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,26.66,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,26.66,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,26.66,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,26.66,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.5,27.75,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.5,27.75,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.5,27.75,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.5,27.75,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
67.4,36.74,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.4,36.74,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.4,36.74,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.4,36.74,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
